,t_n,company_type,area_m2,wells,wellpad_vintage_year,flares_n_acc,flares_power,flares_power_acc,n_completions,t_comp_diff,t_spud_diff,is_flaring,flaring_gap,temporal_group_1.0,temporal_group_2.0,temporal_group_3.0,temporal_group_4.0,temporal_group_5.0,temporal_group_6.0,temporal_group_7.0,temporal_group_8.0,temporal_group_9.0,temporal_group_10.0,temporal_group_11.0,temporal_group_12.0,temporal_group_13.0,temporal_group_14.0,temporal_group_15.0,temporal_group_16.0,temporal_group_17.0,temporal_group_18.0,temporal_group_19.0,temporal_group_20.0,temporal_group_21.0,temporal_group_22.0,temporal_group_23.0,temporal_group_24.0,temporal_group_25.0,temporal_group_9999.0
29,30,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
30,31,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,32,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,33,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
33,34,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,35,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,36,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
36,37,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,38,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
38,39,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,40,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,41,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
41,42,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,43,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,44,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,45,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,46,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,47,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,48,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,49,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,50,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,51,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,52,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,53,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,54,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
54,55,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,56,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
56,57,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
57,58,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,59,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,60,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
60,61,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
61,62,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,63,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,64,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
64,65,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
65,66,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
66,67,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
67,68,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,69,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
69,70,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,71,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
71,72,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
72,73,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
73,74,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
74,75,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
75,76,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,77,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
77,78,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
78,79,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
79,80,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
80,81,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
81,82,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
82,83,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
83,84,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,85,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
85,86,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,87,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
87,88,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
88,89,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,90,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,91,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,92,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
92,93,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
93,94,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,95,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,96,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,97,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
97,98,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
98,99,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
99,100,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,101,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
101,102,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
102,103,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
103,104,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
104,105,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
105,106,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
106,107,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
107,108,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
108,109,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
109,110,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
110,111,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
111,112,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
112,113,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
113,114,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
114,115,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
115,116,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
116,117,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
