,t_n,company_type,area_m2,wells,wellpad_vintage_year,flares_n_acc,flares_power,flares_power_acc,n_completions,t_comp_diff,t_spud_diff,is_flaring,flaring_gap,temporal_group_1.0,temporal_group_2.0,temporal_group_3.0,temporal_group_4.0,temporal_group_5.0,temporal_group_6.0,temporal_group_7.0,temporal_group_8.0,temporal_group_9.0,temporal_group_10.0,temporal_group_11.0,temporal_group_12.0,temporal_group_13.0,temporal_group_14.0,temporal_group_15.0,temporal_group_16.0,temporal_group_17.0,temporal_group_18.0,temporal_group_19.0,temporal_group_20.0,temporal_group_21.0,temporal_group_22.0,temporal_group_23.0,temporal_group_24.0,temporal_group_25.0,temporal_group_9999.0
135,136,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
136,137,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
137,138,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
138,139,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
139,140,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
140,141,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
141,142,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
142,143,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,144,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
144,145,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
145,146,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,147,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
147,148,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
148,149,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
149,150,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
150,151,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
151,152,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
152,153,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
153,154,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
154,155,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
155,156,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
156,157,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
157,158,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
158,159,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
159,160,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
160,161,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
161,162,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
162,163,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
163,164,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
164,165,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
165,166,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
166,167,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
167,168,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,9999.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
168,169,0,35732.246,1,2017,0,0.0,0.0,0,9999.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
