Unnamed: 0,api,state,basin,subbasin,county,tst_permit_date,tst_permit_published_date,tst_spud_date,tst_completion_date,tst_fracfocus_jobstart_date,tst_fracfocus_jobend_date,lat,long,style,wellpads_id,wells,area_m2,tst_first_detection_date,company_type,wellpad_vintage_year,flare_t_start,flare_t_end,comp_diff,spud_diff,permit_diff,detection_diff,best_estimate_diff,Unnamed: 0.2,id_,confidence,power,rad,source_id,aq_date,X,Y,spatial_group,t_diff,days_diffs,temporal_group
90222,4230135848,Texas,Permian,Delaware,Loving,2022/3/8,2022/3/26 0:00,2022/3/22,2022/4/18,,,31.9281,-103.635,3,847326,3,22543.56642,2022/1/30,Private,2022,2015/2/11 8:42,2015/8/6 8:42,62,89,103,140,62,98997,144379166,8,0.5053543,0.32016817,624238,2015/3/26 8:36,-11534439.29,3761079.794,1020,10 days 00:12:00,10,3
90222,4230135848,Texas,Permian,Delaware,Loving,2022/3/8,2022/3/26 0:00,2022/3/22,2022/4/18,,,31.9281,-103.635,3,847326,3,22543.56642,2022/1/30,Private,2022,2015/2/11 8:42,2015/8/6 8:42,62,89,103,140,62,98996,144379165,8,0.94182646,0.35692462,624238,2015/3/26 8:36,-11534635.48,3761246.01,1020,0 days 00:00:00,0,3
90222,4230135848,Texas,Permian,Delaware,Loving,2022/3/8,2022/3/26 0:00,2022/3/22,2022/4/18,,,31.9281,-103.635,3,847326,3,22543.56642,2022/1/30,Private,2022,2015/2/11 8:42,2015/8/6 8:42,62,89,103,140,62,28440,69767139,7,0.5573512,1.1396332,301414,2015/3/29 20:42,-11534796,3761118.594,1020,3 days 12:06:00,3,3
90222,4230135848,Texas,Permian,Delaware,Loving,2022/3/8,2022/3/26 0:00,2022/3/22,2022/4/18,,,31.9281,-103.635,3,847326,3,22543.56642,2022/1/30,Private,2022,2015/2/11 8:42,2015/8/6 8:42,62,89,103,140,62,38924,94780273,8,0.69307566,0.31607953,408443,2015/3/30 9:06,-11534593.02,3761233.994,1020,0 days 12:24:00,0,3
90222,4230135848,Texas,Permian,Delaware,Loving,2022/3/8,2022/3/26 0:00,2022/3/22,2022/4/18,,,31.9281,-103.635,3,847326,3,22543.56642,2022/1/30,Private,2022,2015/2/11 8:42,2015/8/6 8:42,62,89,103,140,62,11992,95919894,8,1.3164535,0.45503023,413227,2015/4/10 8:54,-11534649.92,3761039.743,1020,10 days 23:48:00,10,3
90222,4230135848,Texas,Permian,Delaware,Loving,2022/3/8,2022/3/26 0:00,2022/3/22,2022/4/18,,,31.9281,-103.635,3,847326,3,22543.56642,2022/1/30,Private,2022,2015/2/11 8:42,2015/8/6 8:42,62,89,103,140,62,3373,80007078,8,0.5860434,0.36908725,346379,2015/5/15 9:42,-11534903.86,3760793.679,1020,35 days 00:48:00,35,3
90222,4230135848,Texas,Permian,Delaware,Loving,2022/3/8,2022/3/26 0:00,2022/3/22,2022/4/18,,,31.9281,-103.635,3,847326,3,22543.56642,2022/1/30,Private,2022,2015/2/11 8:42,2015/8/6 8:42,62,89,103,140,62,46590,72221100,8,0.7940378,0.59836406,312122,2015/6/30 8:36,-11534884.33,3761037.49,1020,45 days 22:54:00,45,3
90222,4230135848,Texas,Permian,Delaware,Loving,2022/3/8,2022/3/26 0:00,2022/3/22,2022/4/18,,,31.9281,-103.635,3,847326,3,22543.56642,2022/1/30,Private,2022,2015/2/11 8:42,2015/8/6 8:42,62,89,103,140,62,71477,110655213,8,0.5308703,0.65322876,477366,2015/8/6 8:42,-11534805.34,3761681.085,1020,37 days 00:06:00,37,3
89469,4210336877,Texas,Permian,,Crane,2021/10/1,2021/10/19 0:00,2022/2/5,2022/3/27,2022/3/9 5:53,2022/3/10 9:02,31.545,-102.6798,3,838413,1,22131.38775,2021/11/16 17:45,,2022,2020/6/4 9:06,2020/6/4 9:06,84,134,261,214,84,24009,162229167,8,0.51603156,0.5408554,694609,2020/6/4 9:06,-11432287.15,3704999.585,1142,85 days 00:06:00,85,3
90222,4230135848,Texas,Permian,Delaware,Loving,2022/3/8,2022/3/26 0:00,2022/3/22,2022/4/18,,,31.9281,-103.635,3,847326,3,22543.56642,2022/1/30,Private,2022,2019/5/12 9:00,2019/5/19 8:24,62,89,103,140,62,30404,125829889,8,0.4320363,0.38005188,545029,2019/5/12 9:00,-11535919.62,3759953.895,275,394 days 00:18:00,394,6
90222,4230135848,Texas,Permian,Delaware,Loving,2022/3/8,2022/3/26 0:00,2022/3/22,2022/4/18,,,31.9281,-103.635,3,847326,3,22543.56642,2022/1/30,Private,2022,2019/5/12 9:00,2019/5/19 8:24,62,89,103,140,62,105647,71607377,8,0.49646673,0.46918154,308942,2019/5/18 8:42,-11535769.3,3759873.549,275,5 days 23:42:00,5,6
90222,4230135848,Texas,Permian,Delaware,Loving,2022/3/8,2022/3/26 0:00,2022/3/22,2022/4/18,,,31.9281,-103.635,3,847326,3,22543.56642,2022/1/30,Private,2022,2019/5/12 9:00,2019/5/19 8:24,62,89,103,140,62,108430,147945870,8,1.0341238,0.42455646,639363,2019/5/19 8:24,-11535967.18,3760084.803,275,0 days 23:42:00,0,6
90222,4230135848,Texas,Permian,Delaware,Loving,2022/3/8,2022/3/26 0:00,2022/3/22,2022/4/18,,,31.9281,-103.635,3,847326,3,22543.56642,2022/1/30,Private,2022,2020/10/12 8:24,2020/10/12 8:24,62,89,103,140,62,8195,178878804,8,0.66277224,0.4242356,759308,2020/10/12 8:24,-11535697.11,3760215.711,275,512 days,512,7
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,127367,156527330,7,1.1867102,1.5003102,668318,2019/8/25 19:06,-11340903.28,3728178.198,278,120 days 10:30:00,120,3
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,118723,154455533,8,0.33283073,0.5242487,661188,2019/9/1 9:00,-11340850.63,3728217.891,278,6 days 13:54:00,6,3
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,83515,155918325,8,0.3159415,0.54002374,666123,2019/9/3 8:18,-11340566.96,3727903.345,278,1 days 23:18:00,1,3
69135,4246141901,Texas,Permian,Midland,Upton,2021/9/9,2021/9/23 0:00,2022/2/11,,2022/3/29 6:08,2022/4/1 18:12,31.6433,-101.8222,0,844169,1,10791.23283,2021/12/18,Private,2022,2019/8/25 19:06,2020/2/21 8:12,78,128,283,183,78,109245,156200536,8,0.39346927,0.49280232,666914,2019/10/2 7:36,-11340718.14,3727927.061,278,28 days 23:18:00,28,3
