,id,wellpads_id,longitude_pad,latitude_pad,longitude_well,latitude_well,basin,county,state,block,section,pad_area_km2,operator_name,tst_first_detection_date,tst_permit_date,tst_spud_date,tst_regulator_completion_date,tst_fracfocus_jobstart_date,tst_fracfocus_jobend_date
5204,138333,779756,-102.170265,31.784376,-102.17004359096148,31.784337818013416,Permian,Midland,Texas,40 T3S,15,0.04821329,APACHE CORP,2021-06-24 00:00:00,2021-06-11,2021-07-17,2021-10-05,2021-12-12 06:00:00,2022-01-15 06:00:00
5205,138340,849023,-102.26297,31.927486,-102.26307730273392,31.927567046848875,Permian,Midland,Texas,41 T2S,2,0.038814742,COG OPERATING LLC,2022-03-03 00:00:00,2021-07-09,2022-03-26,,,
5206,138341,209996,-102.076454,31.96993,-102.07619780967059,31.96993537770742,Permian,Midland,Texas,39 T2S,10,0.020743208,PERMIAN DEEP ROCK OIL CO LLC,2019-07-20 00:00:00,2021-06-18,,,,
5207,138342,849023,-102.26297,31.927486,-102.26295330002637,31.927598047121762,Permian,Midland,Texas,41 T2S,2,0.038814742,COG OPERATING LLC,2022-03-03 00:00:00,2021-07-12,2022-03-22,,,
5208,138350,847320,-102.161255,32.039894,-102.16202960877526,32.03984212805966,Permian,Midland,Texas,X,6,0.028427511,MCM OPERATING LLC,2022-01-25 00:00:00,2021-08-31,,,,
5209,138351,847320,-102.161255,32.039894,-102.16196540723496,32.03985672823734,Permian,Midland,Texas,X,6,0.028427511,MCM OPERATING LLC,2022-01-25 00:00:00,2021-08-23,,,,
5210,138352,847320,-102.161255,32.039894,-102.16190430578555,32.03987132838181,Permian,Midland,Texas,X,6,0.028427511,MCM OPERATING LLC,2022-01-25 00:00:00,2021-08-16,,,,
5211,138358,729044,-101.94693,31.953983,-101.94676124523353,31.95409642505397,Permian,Midland,Texas,38 T2S,18,0.034306463,PIONEER NATURAL RES USA INC,2021-02-21 00:00:00,2021-07-01,2021-08-06,2021-11-29,2022-01-29 00:00:00,2022-02-10 00:00:00
5212,138362,729044,-101.94693,31.953983,-101.94683944733522,31.95407892451561,Permian,Midland,Texas,38 T2S,18,0.034306463,PIONEER NATURAL RES USA INC,2021-02-21 00:00:00,2021-07-01,2021-08-04,2021-10-14,2022-01-29 00:00:00,2022-02-10 00:00:00
5213,138368,104625,-102.06836,31.971949,-102.06855790844658,31.971819690170175,Permian,Midland,Texas,39 T2S,11,0.017124154,PERMIAN DEEP ROCK OIL CO LLC,2018-05-13 00:00:00,2021-07-08,,,,
5214,138371,104625,-102.06836,31.971949,-102.06857940938606,31.971885987984198,Permian,Midland,Texas,39 T2S,11,0.017124154,PERMIAN DEEP ROCK OIL CO LLC,2018-05-13 00:00:00,2021-07-08,,,,
5215,138374,104625,-102.06836,31.971949,-102.06825630180863,31.97214668309623,Permian,Midland,Texas,39 T2S,11,0.017124154,PERMIAN DEEP ROCK OIL CO LLC,2018-05-13 00:00:00,2021-07-08,,,,
5216,138379,776098,-102.10041,31.79766,-102.10030320962296,31.79798437207313,Permian,Midland,Texas,40 T3S,22,0.032411583,ENDEAVOR ENERGY RESOURCES LP,2019-07-20 00:00:00,2021-08-06,2021-09-11,2021-11-20,2021-12-12 00:00:00,2022-01-09 00:00:00
5217,138386,779635,-102.1694,31.781797,-102.16918175148182,31.781611910776245,Permian,Midland,Texas,40 T3S,18,0.036987912,APACHE CORP,2021-07-21 00:00:00,2021-07-14,2021-09-02,,,
5218,138387,109723,-102.161285,31.782682,-102.16122106366403,31.78357307778665,Permian,Midland,Texas,40 T3S,18,0.05262911,APACHE CORP,2019-04-21 00:00:00,2021-07-14,2021-09-12,,,
5219,138389,109723,-102.161285,31.782682,-102.16112586141126,31.783595877418602,Permian,Midland,Texas,40 T3S,18,0.05262911,APACHE CORP,2019-04-21 00:00:00,2021-07-15,2021-09-13,,,
5220,138390,109723,-102.161285,31.782682,-102.16094105704603,31.783641376664054,Permian,Midland,Texas,40 T3S,18,0.05262911,APACHE CORP,2019-04-21 00:00:00,2021-07-15,2021-09-15,,,
5221,138393,803873,-102.16851,32.0301,-102.1686512736763,32.030182496555724,Permian,Midland,Texas,40 T1S,24,0.018675767,DIAMONDBACK E AND P LLC,2021-09-02 00:00:00,2021-08-10,,,,
5222,138406,739159,-101.97582,31.90225,-101.97650663424191,31.9016084235228,Permian,Midland,Texas,38 T2S,34,0.032326035,PIONEER NATURAL RES USA INC,2019-07-20 00:00:00,2021-08-18,2021-09-29,,,
5223,138407,739159,-101.97582,31.90225,-101.97644443252076,31.901622723992336,Permian,Midland,Texas,38 T2S,34,0.032326035,PIONEER NATURAL RES USA INC,2019-07-20 00:00:00,2021-08-18,,,,
5224,138418,776098,-102.10041,31.79766,-102.10055555389268,31.79795128366765,Permian,Midland,Texas,40 T3S,22,0.032411583,ENDEAVOR ENERGY RESOURCES LP,2019-07-20 00:00:00,2021-08-18,2021-09-09,2021-10-31,2021-12-12 00:00:00,2022-01-09 00:00:00
5225,138431,809798,-101.95675,31.673637,-101.95690342976368,31.673813767125466,Permian,Midland,Texas,39 T4S,37,0.031840555,XTO ENERGY INC,2021-09-22 00:00:00,2021-08-31,2021-10-20,,,
5226,138432,809798,-101.95675,31.673637,-101.95681032669066,31.673836367951925,Permian,Midland,Texas,39 T4S,37,0.031840555,XTO ENERGY INC,2021-09-22 00:00:00,2021-08-31,2021-10-18,,,
5227,138433,809798,-101.95675,31.673637,-101.95671792364162,31.673859368755718,Permian,Midland,Texas,39 T4S,37,0.031840555,XTO ENERGY INC,2021-09-22 00:00:00,2021-08-31,2021-10-17,,,
5228,138435,809798,-101.95675,31.673637,-101.95662512057925,31.673882269568793,Permian,Midland,Texas,39 T4S,37,0.031840555,XTO ENERGY INC,2021-09-22 00:00:00,2021-08-31,2021-10-16,,,
5229,138440,269729,-101.96101,31.742006,-101.96082893681255,31.7418833336982,Permian,Midland,Texas,38 T4S,7,0.05235822,CHEVRON USA INC,2020-03-18 00:00:00,2021-09-07,2021-12-07,,,
5230,138442,775895,-101.95788,31.878029,-101.95801778839913,31.878288154889344,Permian,Midland,Texas,38 T3S,4,0.033757225,ENDEAVOR ENERGY RESOURCES LP,2021-07-06 00:00:00,2021-10-08,2021-10-25,2021-12-08,2022-02-04 00:00:00,2022-02-15 00:00:00
5231,138446,268737,-102.01072,31.987797,-102.0107767825212,31.987884358386378,Permian,Midland,Texas,38 T2S,5,0.041498892,ENDEAVOR ENERGY RESOURCES LP,2019-10-08 00:00:00,2021-09-01,,2022-02-01,,
5232,138448,107009,-101.968376,31.87582,-101.96854808185917,31.87564107865566,Permian,Midland,Texas,38 T3S,4,0.033901487,ENDEAVOR ENERGY RESOURCES LP,2018-05-03 00:00:00,2021-09-16,,,2022-01-19 00:00:00,2022-01-31 00:00:00
5233,138449,268737,-102.01072,31.987797,-102.01093278671088,31.987849357895566,Permian,Midland,Texas,38 T2S,5,0.041498892,ENDEAVOR ENERGY RESOURCES LP,2019-10-08 00:00:00,2021-09-01,2021-10-16,2021-11-08,,
5234,138455,268735,-102.01494,31.988207,-102.01504890204654,31.988000314369867,Permian,Midland,Texas,38 T2S,5,0.039967626,ENDEAVOR ENERGY RESOURCES LP,2019-11-09 00:00:00,2021-10-01,,,,
5235,138456,268735,-102.01494,31.988207,-102.0151269041428,31.98798331411194,Permian,Midland,Texas,38 T2S,5,0.039967626,ENDEAVOR ENERGY RESOURCES LP,2019-11-09 00:00:00,2021-09-10,2021-11-08,2022-01-14,,
5236,138463,789501,-101.821396,31.774271,-101.82128980633681,31.774383917843444,Permian,Midland,Texas,37 T4S,9,0.049362645,PIONEER NATURAL RES USA INC,2021-08-10 00:00:00,2021-09-21,,,,
5237,138464,789500,-101.81881,31.775034,-101.8189306376181,31.774861140701645,Permian,Midland,Texas,37 T4S,9,0.061747294,PIONEER NATURAL RES USA INC,2021-08-20 00:00:00,2021-09-21,2021-10-22,,,
5238,138474,269367,-102.1692,31.84406,-102.16891975135313,31.84405016548959,Permian,Midland,Texas,,,0.044706542,COG OPERATING LLC,2020-03-06 00:00:00,2021-08-30,,,,
5239,138476,269362,-102.16554,31.844315,-102.16549736568396,31.844554368137516,Permian,Midland,Texas,40,7,0.024299674,COG OPERATING LLC,2020-03-23 00:00:00,2021-08-30,2022-02-04,,,
