,id,pad_id,longitude_pad,latitude_pad,county,state,operator_principal,parent_operator_co,company_type,pad_status,tst_first_detection_date
6274,786172,9tx51shj,-102.58459,31.487812,Crane,Texas,CONTANGO RESOURCES INC,CONTANGO OIL AND GAS,Public,no permit,
6275,784958,9twfjurx,-102.744804,31.313755,Crane,Texas,KERR-MCGEE CORPORATION,NaN,NaN,no permit,
6276,711792,9twjs1gb,-103.88146,31.913948,Loving,Texas,"WPX ENERGY PERMIAN, LLC",,,no permit,2021-01-05 00:00:00.000
6277,849776,9tw9ec2u,-103.19323,31.208729,Reeves,Texas,PRI OPERATING LLC,PRI OPERATING,Private,no permit,2022-03-16 00:00:00.000
6278,786029,9tx4cqqn,-102.59287,31.45637,Crane,Texas,APACHE CORP,APA,Public,no permit,
6279,785987,9tx4cwgn,-102.58618,31.45904,Crane,Texas,SLANT OPERATING LLC,SLANT ENERGY,Private,no permit,
6280,796880,9txcuuhd,-101.38651,31.267437,Reagan,Texas,DISCOVERY NATURAL RESOURCES LLC,DISCOVERY NATURAL RESOURCES,Private,no permit,2018-05-03 00:00:00.000
6281,754022,9txqs56c,-102.12495,32.098274,Martin,Texas,OCCIDENTAL PERMIAN LTD,OCCIDENTAL,Private,no permit,2019-05-16 00:00:00.000
6282,257410,9ttzkmjz,-104.21906,32.240707,Eddy,New Mexico,CONCHO OIL AND GAS LLC COG OPERATING LLC,CONOCOPHILLIPS,Public,no permit,2018-06-15 00:00:00.000
6283,786019,9tx4cw0n,-102.5902,31.455048,Crane,Texas,APACHE CORP,APA,Public,no permit,
6284,849477,9txw8t3v,-101.928444,32.10992,Martin,Texas,DIAMONDBACK E AND P LLC,DIAMONDBACK,Public,no permit,2021-12-01 00:00:00.000
6285,752887,9ty4epkx,-103.924255,32.82423,Eddy,New Mexico,BURNETT OIL CO INC,NaN,NaN,no permit,2021-06-09 00:00:00.000
6286,785306,9twgrbf0,-102.66442,31.513033,Crane,Texas,"BLACKBEARD OPERATING, LLC",NaN,NaN,no permit,
6287,696219,9tv8kg9j,-104.5555,32.407845,Eddy,New Mexico,EOG RESOURCES INC,EOG RESOURCES,Public,no permit,2018-03-02 00:00:00.000
6288,729452,9txxgh06,-101.82085,32.322197,Martin,Texas,XTO ENERGY INC.,,,no permit,2019-01-08 00:00:00.000
6289,369174,9tzv3udb,-101.52084,33.29142,Garza,Texas,ROCKER A OPERATING COMPANY,NaN,NaN,no permit,2019-11-04 00:00:00.000
6290,785019,9twfr4wz,-102.690674,31.34808,Crane,Texas,RAMTEX ENERGY LLC,NaN,NaN,no permit,
6291,429410,9trrxxw5,-101.96677,30.891434,Pecos,Texas,KINDER MORGAN PRODUCTION CO LLC,KINDER MORGAN,Public,no permit,2019-05-13 00:00:00.000
6292,794286,9twpjfq2,-103.80113,32.18037,Eddy,New Mexico,XTO HOLDINGS LLC,EXXON,Public,no permit,2021-05-20 00:00:00.000
6293,237153,9tzrk7ur,-102.11207,33.640102,Hockley,Texas,"MOMENTUM OPERATING CO., INC.",NaN,NaN,no permit,2018-11-27 00:00:00.000
6294,539523,9trzd6um,-101.4966,30.865618,Crockett,Texas,OVERTON PARK OIL & GAS LP,NaN,NaN,no permit,2020-08-10 00:00:00.000
6295,785731,9tx497ng,-102.59178,31.394081,Crane,Texas,MARTIN JIMMY INC,MARTIN JIMMY,Private,no permit,
6296,259389,9tv9uk5f,-104.57355,32.673714,Eddy,New Mexico,OCCIDENTAL PERMIAN LTD,OCCIDENTAL,Private,no permit,2018-05-29 00:00:00.000
6297,751978,9txfbzpt,-101.55823,31.46029,Reagan,Texas,PARK HILL DISPOSAL LLC,PARK HILL DISPOSAL,Private,no permit,2021-05-17 00:00:00.000
6298,850202,9txmm5bb,-102.083694,31.880995,Midland,Texas,CHEVRON USA INC,CHEVRON,Public,no permit,2022-03-23 00:00:00.000
6299,786381,9tx50y6p,-102.62041,31.500488,Crane,Texas,"BLACKBEARD OPERATING, LLC",NaN,NaN,no permit,
6300,189286,9tw8z0qf,-103.04217,31.071201,Pecos,Texas,DIAMONDBACK E AND P LLC,DIAMONDBACK,Public,no permit,2018-05-06 00:00:00.000
6301,7487,9twpb32n,-104.051315,32.307823,Eddy,New Mexico,CHEVRON USA INC,CHEVRON,Public,no permit,2017-04-16 00:00:00.000
6302,785310,9tx5228s,-102.6444,31.51224,Crane,Texas,"BLACKBEARD OPERATING, LLC",NaN,NaN,no permit,
6303,731888,9ty2cc3s,-103.63195,32.48324,Lea,New Mexico,ADVANCE ENERGY PARTNERS HAT MESA LLC,ADVANCE ENERGY PARTNERS,Private,no permit,2021-01-15 00:00:00.000
